loc,size
89703,39496
90045,39587
90231,39636
90371,39674
90609,39711
90750,39782
90961,39843
91381,39940
91776,40053
91933,40083
92139,40123
92398,40198
92539,40235
92715,40251
92846,40282
93435,40328
93573,40348
93621,40390
93857,40477
93885,40482
94205,40565
94321,40586
94422,40606
94675,40648
94746,40664
94952,40696
95149,40756
95284,40790
96044,40969
96214,41015
96283,41031
96491,41067
96795,41086
96959,41110
97108,41135
97344,41149
97438,41177
97600,41210
97893,41276
98071,41290
98387,41344
98811,41397
99255,41444
99330,41466
99515,41547
99544,41558
100227,41616
100559,41708
100612,41754
101040,42000
101126,42014
101318,42045
101389,42061
101491,42084
101683,42172
101769,42184
102200,42319
102230,42340
102656,42448
103122,42511
103286,42616
103407,42650
104444,42883
105372,43080
105703,43102
105957,43147
106349,43250
106467,43281
106656,43297
106720,43313
106977,43409
107091,43417
107215,43453
107665,43547
107881,43635
108095,43665
108269,43697
108340,43709
108393,43720
108649,43803
108822,43830
109291,43899
109335,43909
109436,43938
109712,44011
110519,44078
110946,44182
111058,44199
111271,44254
111361,44273
112168,44483
112199,44502
112348,44553
112464,44563
112542,44573
112896,44628
113095,44639
113401,44695
113969,44850
113978,44858
114065,44925
114309,45049
114333,45069
114346,45081
114364,45099
114377,45111
114390,45123
114414,45138
114432,45154
114441,45162
114673,45206
114687,45221
114717,45235
114770,45263
114798,45276
114908,45299
115146,45370
115198,45395
115305,45446
115346,45460
115402,45471
115421,45481
115460,45497
115513,45505
115613,45532
115629,45540
115725,45585
115760,45604
115858,45646
115956,45670
116009,45680
116034,45689
116069,45709
116292,45773
116463,45836
116658,45852
116674,45860
116740,45884
116765,45892
116805,45904
116839,45917
116879,45936
117129,46008
117242,46038
117377,46100
117457,46123
117516,46151
117539,46160
117635,46189
117648,46201
117661,46211
117680,46223
117689,46232
117703,46244
117716,46256
117762,46286
117823,46335
117888,46376
117957,46398
118030,46439
118121,46474
118177,46496
118211,46512
118262,46533
118313,46544
118390,46555
118450,46578
118509,46597
118556,46617
118592,46635
118667,46668
118718,46688
118772,46716
118804,46729
118869,46765
118930,46790
119061,46856
119082,46866
119131,46891
119199,46952
119256,46979
119401,46996
119455,47012
119497,47019
119630,47087
119678,47112
119735,47140
119767,47158
119809,47170
119847,47184
119922,47226
119950,47243
119989,47264
120017,47280
120026,47287
120058,47306
120083,47318
120202,47364
120211,47371
120220,47378
120230,47386
120284,47415
120294,47424
120304,47432
120358,47460
120368,47468
120392,47487
120498,47546
120514,47555
120524,47563
120534,47571
120600,47601
120611,47609
120668,47636
120692,47649
120748,47671
120780,47692
120810,47706
120842,47727
120881,47757
120890,47764
120918,47781
120946,47798
120968,47810
121068,47846
121130,47893
121168,47925
121365,48052
121448,48080
121475,48089
121486,48093
121607,48153
121905,48153
121920,48159
122121,48315
122142,48327
122152,48331
122211,48349
122240,48382
122242,48382
122255,48390
122260,48394
122582,48609
122608,48623
122668,48665
122715,48690
122738,48702
122761,48714
122803,48732
122869,48780
122883,48787
122993,48883
123012,48890
123038,48910
123052,48917
123072,48918
123083,48927
123106,48939
123108,48943
123178,49015
123195,49022
123218,49022
123228,49026
123234,49029
123242,49034
123253,49036
123279,49043
123280,49043
123510,49238
123581,49286
123690,49348
123706,49358
123719,49374
123821,49441
124205,49801
124208,49804
124216,49809
124223,49811
124225,49812
124229,49815
124236,49817
124273,49828
124392,49908
124454,49978
124465,49988
124490,50004
124503,50011
124516,50020
124524,50020
125290,50020
125492,50212
125520,50221
125553,50232
125608,50265
125636,50269
125709,50310
125745,50346
125773,50356
125822,50389
125893,50426
125922,50448
125983,50484
125992,50488
126010,50508
126014,50510
126090,50553
126107,50560
126137,50567
126164,50600
126181,50615
126216,50653
126238,50670
126260,50688
126355,50761
126420,50803
126435,50818
126468,50837
126481,50847
126522,50869
126563,50910
126575,50918
126600,50934
126601,50934
126672,50987
126673,50987
126748,51043
126764,51059
126772,51063
126840,51102
126872,51130
126881,51134
127343,51443
127792,51680
