loc,uniq_libs,total_libs
64732,77,391
64763,77,391
64800,77,391
64891,77,391
65030,77,394
65047,77,394
65091,77,394
65177,77,395
65190,77,396
65287,77,397
65300,77,398
65333,77,398
65421,77,398
65480,77,399
65500,77,399
65550,77,399
65618,77,399
65669,77,399
65714,77,399
65731,77,399
65771,77,399
65818,77,399
65861,77,399
65962,77,399
66122,77,399
66156,77,399
66173,77,399
66250,77,399
66259,77,408
66262,77,408
66325,78,426
66326,78,427
66390,78,430
66415,79,432
66508,79,434
66511,79,434
66551,79,434
67322,80,436
67514,80,437
67634,80,438
67721,80,439
67941,80,440
68153,80,441
68206,80,442
68449,80,443
68621,80,444
69119,80,445
69273,80,446
69332,80,447
69618,80,448
69766,80,449
69883,80,450
70187,80,451
70542,80,452
70623,80,453
70728,80,454
70833,80,455
70952,80,456
71022,80,457
71143,80,458
71216,80,459
71276,80,460
71350,80,461
71441,80,462
71504,80,463
71591,80,464
71680,80,465
71749,80,466
71827,81,468
71882,81,469
72003,81,470
72150,81,470
72211,81,471
72376,81,472
72465,81,473
72574,81,474
72695,81,475
73302,81,476
73479,81,477
73663,81,478
73727,81,479
73831,81,480
73935,81,481
74041,81,482
74179,81,484
74371,81,486
74470,81,487
74580,81,489
74638,81,490
74695,81,491
74818,81,492
74902,81,493
75157,81,494
75255,81,496
75395,81,497
75489,81,498
75579,81,499
75656,81,500
75886,81,501
76045,81,502
76220,82,503
76275,82,504
76417,82,505
76456,82,506
76537,82,507
76729,82,508
76966,82,509
77139,82,510
77272,82,511
77377,82,512
77426,82,513
77654,82,514
77767,82,515
77870,82,516
77985,82,517
78067,82,518
78125,82,519
78248,82,520
78344,82,521
78419,82,522
78617,82,523
78827,82,524
79037,82,525
79247,82,526
79553,82,527
79616,82,528
79725,82,529
79944,82,530
80031,82,531
80093,82,532
80144,82,533
80206,82,534
80320,82,535
80507,82,536
80560,82,537
80588,82,538
80706,82,539
80935,82,540
81107,82,541
81141,82,542
81253,82,543
81386,82,544
81538,82,545
81974,82,547
82056,82,548
82163,82,549
82206,82,550
82303,82,551
82406,82,552
82525,82,553
82657,82,554
82679,82,555
82716,82,556
82815,87,561
82841,87,562
82867,87,563
83014,87,565
83040,87,566
83197,87,569
83251,87,569
83512,90,590
83571,90,591
83640,90,592
83728,90,593
83750,90,594
83945,90,595
84327,90,596
84360,90,597
84392,90,598
85388,90,599
85878,90,600
86565,90,601
86684,90,601
87365,90,602
87815,90,603
87866,90,604
88093,90,605
88395,90,606
88500,90,607
88853,90,608
88988,90,609
89029,90,610
89306,90,611
89415,90,612
89505,90,613
89703,90,614
90045,90,615
90231,90,616
90371,90,617
90609,90,618
90750,90,619
90961,90,620
91381,90,621
91776,90,622
91933,90,623
92139,90,624
92398,90,625
92539,90,626
92715,90,627
92846,90,628
93435,90,630
93573,90,631
93621,90,632
93857,90,633
93885,90,634
94205,90,635
94321,90,636
94422,90,637
94675,90,638
94746,90,639
94952,90,640
95149,90,641
95284,90,642
96044,90,643
96214,90,644
96283,90,645
96491,90,646
96795,90,647
96959,90,648
97108,90,649
97344,90,650
97438,90,651
97600,90,652
97893,90,653
98071,90,654
98387,90,655
98811,90,656
99255,90,657
99330,90,658
99515,90,659
99544,91,661
100227,91,662
100559,91,664
100612,91,665
101040,91,667
101126,91,668
101318,91,670
101389,91,671
101491,91,672
101683,91,673
101769,91,674
102200,91,675
102230,91,676
102656,91,677
103122,91,678
103286,91,681
103407,91,682
104444,91,684
105372,91,685
105703,91,686
105957,91,687
106349,91,688
106467,91,689
106656,91,690
106720,91,691
106977,91,692
107091,91,693
107215,91,694
107665,91,697
107881,91,698
108095,91,699
108269,91,700
108340,91,701
108393,91,702
108649,91,703
108822,91,704
109291,91,705
109335,91,706
109436,91,707
109712,91,708
110519,91,709
110946,91,710
111058,91,711
111271,91,712
111361,91,713
112168,91,715
112199,91,717
112348,91,718
112464,91,719
112542,91,720
112896,91,722
113095,91,723
113401,91,724
113969,91,725
113978,91,726
114065,91,728
114309,91,729
114333,91,730
114346,91,731
114364,91,732
114377,91,733
114390,91,734
114414,91,735
114432,91,736
114441,91,737
114673,91,738
114687,91,739
114717,91,740
114770,91,741
114798,91,742
114908,91,743
115146,91,744
115198,91,745
115305,91,746
115346,91,748
115402,91,749
115421,91,750
115460,91,751
115513,91,752
115613,91,753
115629,91,754
115725,91,755
115760,91,756
115858,91,757
115956,91,758
116009,91,759
116034,91,760
116069,91,761
116292,91,762
116463,91,763
116658,91,764
116674,91,765
116740,91,766
116765,91,767
116805,91,768
116839,91,769
116879,91,770
117129,91,771
117242,91,772
117377,91,773
117457,91,774
117516,91,775
117539,91,776
117635,91,777
117648,91,778
117661,91,779
117680,91,780
117689,91,781
117703,91,782
117716,91,783
117762,91,784
117823,91,785
117888,91,786
117957,91,787
118030,91,788
118121,91,789
118177,91,790
118211,91,791
118262,91,792
118313,91,793
118390,91,794
118450,91,795
118509,91,796
118556,91,797
118592,91,798
118667,91,799
118718,91,800
118772,91,801
118804,91,802
118869,91,803
118930,91,804
119061,91,805
119082,91,806
119131,91,807
119199,91,808
119256,91,809
119401,91,810
119455,91,811
119497,91,812
119630,91,813
119678,91,814
119735,91,815
119767,91,816
119809,91,817
119847,91,818
119922,91,819
119950,91,820
119989,91,821
120017,91,822
120026,91,823
120058,91,824
120083,91,825
120202,91,826
120211,91,827
120220,91,828
120230,91,829
120284,91,830
120294,91,831
120304,91,832
120358,91,833
120368,91,834
120392,91,835
120498,91,836
120514,91,837
120524,91,838
120534,91,839
120600,91,840
120611,91,841
120668,91,842
120692,91,843
120748,91,844
120780,91,845
120810,91,846
120842,91,847
120881,91,848
120890,91,849
120918,91,850
120946,91,851
120968,91,852
121068,91,853
121130,91,854
121168,91,855
121365,91,855
121448,91,855
121475,91,855
121486,91,855
121607,91,855
121905,91,855
121920,91,855
122121,92,856
122142,92,856
122152,92,856
122211,94,868
122240,94,868
122242,94,870
122255,94,870
122260,94,870
122582,95,871
122608,95,872
122668,96,881
122715,97,883
122738,97,885
122761,97,887
122803,97,889
122869,98,890
122883,98,891
122993,98,892
123012,98,893
123038,98,894
123052,98,895
123072,98,900
123083,98,900
123106,98,900
123108,98,900
123178,98,900
123195,98,901
123218,98,901
123228,98,901
123234,98,901
123242,98,902
123253,98,902
123279,98,902
123280,98,902
123510,98,902
123581,98,902
123690,98,902
123706,98,902
123719,98,902
123821,98,908
124205,98,908
124208,98,908
124216,98,908
124223,98,908
124225,98,908
124229,98,908
124236,98,908
124273,98,908
124392,98,908
124454,98,908
124465,98,908
124490,98,908
124503,98,908
124516,98,908
124524,99,909
125290,99,909
125492,99,909
125520,99,909
125553,99,909
125608,99,909
