size,loc
42967,102239
43003,102321
43110,102803
43131,102936
43167,103079
43184,103210
43252,103371
43277,103486
43320,103567
43361,103674
43367,103727
43404,103812
43449,103986
43466,104084
43527,104250
43546,104320
43566,104369
43598,104468
43628,104564
43636,104609
43675,104732
43697,104809
43730,105239
43736,105272
43736,105290
43738,105312
43740,105341
43743,105391
43760,105437
43760,105455
43762,105478
43764,105508
43767,105538
43773,105571
43773,105589
43775,105611
43777,105634
43780,105684
43803,105822
43835,105961
43840,105994
43840,106012
43846,106038
43900,106206
43979,106396
44001,106509
44014,106554
44067,106834
44100,106980
44145,107073
44169,107281
44171,107310
44177,107377
44183,107410
44183,107428
44185,107450
44223,107588
44247,107670
44307,107977
44332,108162
44334,108190
44340,108278
44377,108440
44394,108496
44460,108642
44470,108689
44470,108708
44472,108730
44474,108759
44480,108789
44536,108934
44556,109009
44560,109038
44566,109118
44622,109298
44653,109426
44665,109505
44674,109552
44705,109635
44705,109653
44707,109675
44735,109786
44761,109918
44767,109965
44792,110049
44821,110148
44832,110200
44865,110327
44879,110373
44948,110561
44950,110590
44973,110652
45013,110793
45031,110931
45057,111100
45076,111231
45114,111431
45128,111564
45140,111662
45171,111752
45175,111797
45221,111936
45237,112009
45298,112418
45303,112451
45303,112470
45305,112492
45307,112515
45310,112589
45316,112622
45316,112640
45318,112660
45320,112687
45323,112717
45402,112912
45408,112945
45408,112963
45456,113179
45482,113254
45518,113417
45539,113506
45541,113528
45543,113557
45550,113628
45840,114318
45959,114706
45969,114744
46025,115031
46060,115174
46078,115225
46119,115420
46150,115592
46182,115700
46270,115904
46357,116281
46373,116513
46429,116725
46495,117178
46502,117209
46551,117412
46609,118106
46744,118352
46765,118401
46775,118437
46789,118478
46839,118584
46854,118625
46872,118680
46888,118734
46919,118839
46926,118870
46999,119006
47013,119049
47029,119188
47035,119221
47035,119239
47037,119261
47039,119290
47042,119342
47090,119503
47099,119575
47104,119608
47104,119626
47106,119648
47136,119759
47165,119859
47170,119882
47255,120133
47285,120243
47291,120330
47359,120595
47516,120859
47573,121063
47746,121805
47774,121965
47924,122422
47955,122533
47980,122610
48040,122730
48163,122989
48849,124833
48858,124875
48883,124983
48928,125177
49010,125367
49083,125513
49114,125607
49241,125951
49257,126021
49351,126379
49375,126482
49402,126559
49454,126707
49471,126796
49502,126871
49520,126945
49541,126992
49561,127077
49761,127631
