loc,send,const
65287,2831,997
65300,2831,997
65333,2831,997
65421,2831,998
65480,2831,998
65500,2831,998
65550,2831,999
65618,2831,999
65669,2831,999
65714,2831,999
65731,2831,1000
65771,2831,1000
65818,2831,1000
65861,2831,1000
65962,2831,1001
66122,2833,1001
66156,2834,1001
66173,2834,1001
66250,2835,1002
66259,2835,1002
66262,2835,1002
66325,2836,1002
66326,2836,1002
66390,2840,1003
66415,2840,1004
66508,2848,1013
66511,2848,1013
66551,2848,1015
67322,2870,1016
67514,2875,1017
67634,2875,1018
67721,2875,1019
67941,2875,1020
68153,2877,1021
68206,2879,1022
68449,2883,1023
68621,2884,1024
69119,2884,1025
69273,2885,1026
69332,2885,1027
69618,2885,1028
69766,2886,1029
69883,2886,1030
70187,2892,1031
70542,2892,1032
70623,2894,1033
70728,2894,1034
70833,2894,1035
70952,2895,1036
71022,2895,1037
71143,2895,1038
71216,2895,1039
71276,2895,1040
71350,2895,1041
71441,2895,1042
71504,2895,1043
71591,2895,1044
71680,2895,1045
71749,2895,1046
71827,2895,1047
71882,2895,1048
72003,2897,1049
72150,2897,1050
72211,2897,1051
72376,2897,1052
72465,2897,1053
72574,2897,1054
72695,2897,1055
73302,2900,1056
73479,2900,1057
73663,2901,1058
73727,2902,1059
73831,2902,1060
73935,2902,1061
74041,2902,1062
74179,2906,1064
74371,2906,1065
74470,2906,1066
74580,2909,1068
74638,2909,1069
74695,2910,1070
74818,2911,1071
74902,2911,1072
75157,2911,1073
75255,2912,1074
75395,2912,1075
75489,2912,1076
75579,2912,1077
75656,2912,1078
75886,2913,1079
76045,2915,1080
76220,2916,1081
76275,2916,1082
76417,2917,1084
76456,2917,1085
76537,2917,1086
76729,2918,1088
76966,2921,1089
77139,2921,1090
77272,2921,1091
77377,2921,1092
77426,2921,1093
77654,2924,1094
77767,2925,1095
77870,2926,1096
77985,2926,1097
78067,2926,1098
78125,2926,1099
78248,2926,1100
78344,2927,1101
78419,2927,1102
78617,2927,1103
78827,2927,1104
79037,2927,1105
79247,2927,1106
79553,2928,1107
79616,2929,1108
79725,2929,1109
79944,2930,1110
80031,2930,1111
80093,2931,1112
80144,2931,1113
80206,2931,1114
80320,2931,1115
80507,2931,1117
80560,2931,1118
