loc,misses,hits,total,ratio
72281,36471,110453,146924,3.0285158070795974
72292,36476,110460,146936,3.0282925759403443
72310,36483,110472,146955,3.0280404571992436
72340,36503,110507,147010,3.027340218612169
73402,36989,111848,148837,3.023817891805672
73407,36990,111858,148848,3.024006488240065
73537,37041,111947,148988,3.02224561971869
73625,37114,112115,149229,3.0208277199978446
73648,37120,112126,149246,3.0206357758620688
73791,37171,112353,149524,3.022598262086035
73802,37182,112375,149557,3.0222957344951857
73803,37183,112379,149562,3.0223220288841675
73853,37200,112439,149639,3.02255376344086
73914,37200,112557,149757,3.025725806451613
73976,37251,112654,149905,3.024187270140399
73991,37259,112668,149927,3.0239136852840924
74024,37286,112714,150000,3.022957678485222
74169,37332,112855,150187,3.0230097503482267
74250,37368,112932,150300,3.0221579961464355
74367,37402,113025,150427,3.02189722474734
74376,37418,113040,150458,3.021005932973435
74449,37443,113127,150570,3.021312394840157
74527,37520,113287,150807,3.0193763326226013
74838,37618,113487,151105,3.0168270508798978
74860,37631,113514,151145,3.016502351784433
74946,37675,113735,151410,3.018845388188454
74952,37681,113746,151427,3.0186566173933813
75075,37766,113933,151699,3.0168140655616162
76071,38210,115437,153647,3.021120125621565
76076,38214,115447,153661,3.0210655780603966
76130,38241,115489,153730,3.0200308569336576
76251,38241,115703,153944,3.0256269449020685
76308,38279,115815,154094,3.025549256772643
76337,38289,115822,154111,3.0249418893154694
76350,38303,115847,154150,3.024488943424797
76398,38333,115920,154253,3.0240262958808337
76418,38355,115940,154295,3.022813192543345
76438,38368,115965,154333,3.0224405754795662
76468,38387,115982,154369,3.0213874488759216
76530,38414,116075,154489,3.021684802415786
76558,38427,116112,154539,3.021625419626825
76614,38475,116220,154695,3.020662768031189
76775,38608,116424,155032,3.015540820555325
76809,38613,116442,155055,3.01561650221428
76888,38636,116477,155113,3.0147271974324465
77036,38636,116477,155113,3.0147271974324465
77065,38645,116515,155160,3.015008409884849
77156,38672,116640,155312,3.0161357054199422
77189,38688,116690,155378,3.0161807278742763
77748,39046,117915,156961,3.0198996055934026
77940,39067,117977,157044,3.019863311746487
80378,40676,122863,163539,3.02052807552365
80391,40676,122863,163539,3.02052807552365
80403,40685,122883,163568,3.020351480889763
80445,40710,122930,163640,3.019651191353476
80465,40735,123002,163737,3.0195654842273227
80923,40910,124004,164914,3.031141530188218
81139,41054,124277,165331,3.027159351098553
81591,41432,124929,166361,3.0152780459548176
81634,41467,124975,166442,3.0138423324571346
81747,41499,125081,166580,3.0140726282561023
83076,42382,129228,171610,3.0491246283799724
83094,42400,129253,171653,3.0484198113207546
83097,42401,129256,171657,3.0484186693710056
83106,42406,129269,171675,3.0483657972928357
83147,42445,129339,171784,3.0472140417010247
83201,42484,129419,171903,3.0462997834478864
83265,42517,129557,172074,3.0471811275489804
83363,42595,129718,172313,3.045380913252729
83459,42660,129983,172643,3.046952648851383
83521,42672,130070,172742,3.0481346081739784
83539,42683,130092,172775,3.047864489375161
83548,42685,130108,172793,3.0480965210261215
83581,42705,130143,172848,3.047488584474886
83602,42705,130175,172880,3.04823791125161
83608,42705,130180,172885,3.048354993560473
83615,42706,130184,172890,3.0483772771975834
83648,42715,130204,172919,3.048203207304226
83707,42733,130280,173013,3.0486977277513865
83739,42767,130320,173087,3.0472092968877873
83880,42857,130576,173433,3.0467834892782975
83916,42871,130602,173473,3.0463949989503396
83953,42884,130673,173557,3.0471271336629044
83980,42891,130687,173578,3.046956237905388
84031,42932,130763,173695,3.045816640268331
84139,42966,130849,173815,3.0454079970209
84295,43067,131105,174172,3.044210184131702
84387,43148,131246,174394,3.0417632335218316
84492,43200,131588,174788,3.0460185185185185
84579,43277,131818,175095,3.045913533747718
84657,43305,131895,175200,3.0457222029788706
84686,43305,131895,175200,3.0457222029788706
84781,43387,132003,175390,3.0424551132827804
84813,43408,132043,175451,3.0419047180243273
84893,43436,132109,175545,3.0414633023298645
84984,43436,132289,175725,3.045607330325076
85035,43451,132321,175772,3.045292398333755
85062,43465,132363,175828,3.045277809731968
85083,43471,132429,175900,3.046375744749373
85306,43619,132759,176378,3.043604851096999
85360,43656,132833,176489,3.0427203591717062
85418,43669,132926,176595,3.043944216721244
85539,43716,133002,176718,3.0424101015646445
85565,43731,133036,176767,3.042144016830166
85573,43739,133044,176783,3.0417705022977204
85707,43811,133297,177108,3.0425463924585148
85862,43880,133542,177422,3.0433454876937103
85873,43887,133573,177460,3.0435664319730216
86267,44032,133950,177982,3.04210574127907
86378,44032,134128,178160,3.0461482558139537
86434,44071,134214,178285,3.045404007170248
86453,44091,134243,178334,3.0446803202467625
86473,44116,134283,178399,3.0438616375011334
86506,44138,134330,178468,3.0434093071729573
86528,44143,134334,178477,3.0431552001449833
86542,44155,134351,178506,3.042713169516476
86597,44203,134485,178688,3.0424405583331446
86627,44217,134511,178728,3.0420652690141803
87137,44334,134786,179120,3.0402399963910316
87175,44393,134853,179246,3.037708647759782
87184,44398,134865,179263,3.03763683048786
87211,44425,134912,179337,3.0368486212718064
87239,44437,134949,179386,3.0368611742466864
87240,44437,134951,179388,3.036906181785449
87335,44482,135011,179493,3.035182770558878
87424,44526,135120,179646,3.0346314512868884
87431,44529,135131,179660,3.034674032652878
87976,44853,136543,181396,3.0442333846119545
88177,44968,136773,181741,3.041562889165629
88373,45093,137081,182174,3.0399618566074555
88395,45100,137139,182239,3.040776053215078
88412,45114,137170,182284,3.0405195726382055
88423,45128,137211,182339,3.040484843112923
88455,45144,137265,182409,3.0406034024455075
88563,45170,137335,182505,3.040402922293558
88693,45172,137719,182891,3.048769149030373
88704,45178,137742,182920,3.048873345433618
88894,45326,138019,183345,3.045029342981953
88905,45341,138037,183378,3.044418958558479
88920,45341,138042,183383,3.0445292340265984
88954,45347,138075,183422,3.0448541248594174
88970,45358,138098,183456,3.0446227787821334
89198,45596,138573,184169,3.0391481708921835
89303,45657,138673,184330,3.037277963948573
89312,45660,138687,184347,3.0373850197109067
89361,45706,138759,184465,3.035903382488076
89444,45722,138993,184715,3.0399588819386727
89667,45722,139471,185193,3.050413367744193
89697,45748,139505,185253,3.0494229255923755
89742,45762,139549,185311,3.0494515099864516
89824,45845,139686,185531,3.046918966081361
89868,45858,139749,185607,3.0474290200183174
90043,45936,140066,186002,3.04915534656914
90102,46012,140214,186226,3.0473354777014694
