loc,misses,hits,total,ratio
36546,23348,63845,87193,2.7344954599965736
36615,23390,64020,87410,2.7370671227020096
36621,23390,64034,87424,2.7376656690893544
36656,23405,64106,87511,2.7389873958555864
36939,23580,64604,88184,2.739779474130619
36975,23596,64623,88219,2.7387269028648924
36991,23610,64665,88275,2.738881829733164
37230,23826,65121,88947,2.7331906320825987
37230,23826,65121,88947,2.7331906320825987
37280,23889,65259,89148,2.731759387165641
37319,23916,65336,89252,2.73189496571333
37369,23924,65352,89276,2.7316502257147635
37740,24047,66350,90397,2.759179939285566
37859,24132,66588,90720,2.759323719542516
37904,24151,66614,90765,2.758229472899673
37928,24172,66645,90817,2.7571156710243256
37929,24172,66650,90822,2.7573225219261954
39865,24172,66650,90822,2.7573225219261954
39891,24173,66668,90841,2.7579530881562073
39891,24173,66668,90841,2.7579530881562073
39898,24174,66687,90861,2.7586249689749316
40858,24545,67849,92394,2.764269708698309
40898,24568,67915,92483,2.764368283946597
40931,24580,67937,92517,2.7639137510170873
40933,24580,67937,92517,2.7639137510170873
40953,24581,67977,92558,2.7654285830519507
41171,24736,68422,93158,2.7660899094437257
41197,24751,68497,93248,2.767443739646883
41203,24754,68512,93266,2.767714308798578
41219,24762,68520,93282,2.767143203295372
41467,24850,68730,93580,2.76579476861167
41486,24862,68740,93602,2.7648620384522564
41527,24894,68794,93688,2.7634771430866873
41549,24902,68811,93713,2.7632720263432655
41557,24912,68827,93739,2.762805073859987
42111,25139,69290,94429,2.7562751103862526
42122,25146,69310,94456,2.7563031893740555
42195,25173,69399,94572,2.756882373972113
42243,25218,69504,94722,2.7561265762550557
42292,25248,69563,94811,2.7551885297845375
42321,25260,69633,94893,2.756650831353919
42366,25304,69748,95052,2.75640214985773
42386,25304,69769,95073,2.757232058172621
42392,25304,69783,95087,2.757785330382548
42402,25308,69786,95094,2.7574679943100997
42410,25314,69789,95103,2.756932922493482
42697,25566,70455,96021,2.755808495658296
42704,25573,70473,96046,2.7557580260430923
42712,25580,70478,96058,2.755199374511337
42734,25595,70532,96127,2.7556944715764797
42804,25630,70601,96231,2.7546234880998828
42938,25720,70810,96530,2.7531104199066876
43006,25746,70876,96622,2.7528936533830497
43038,25772,70950,96722,2.7529877386310724
43046,25772,70970,96742,2.7537637746391432
43625,26194,71716,97910,2.737878903565702
43663,26215,71767,97982,2.737631127217242
43844,26239,71878,98117,2.7393574450245817
43945,26301,72143,98444,2.7429755522603703
44399,26513,72984,99497,2.752762795609701
44412,26525,73001,99526,2.7521583411875588
44455,26531,73009,99540,2.751837473144623
44531,26623,73119,99742,2.746459827968298
44572,26642,73164,99806,2.7461902259590123
44631,26682,73284,99966,2.746570721834945
44642,26687,73289,99976,2.7462434893393786
45108,27061,73897,100958,2.730756439155981
45145,27087,73975,101062,2.7310148779857495
45168,27102,74016,101118,2.731016161168917
45867,27445,75489,102934,2.7505556567680816
45896,27471,75561,103032,2.7505733318772525
45907,27471,75573,103044,2.751010156164683
45980,27505,75711,103216,2.7526267951281587
46165,27615,76035,103650,2.753394894079305
46172,27616,76057,103673,2.7540918308227114
46186,27625,76068,103693,2.7535927601809953
46223,27643,76094,103737,2.752740295915783
46238,27656,76116,103772,2.752241828174718
46282,27686,76189,103875,2.7518962652604206
46337,27695,76243,103938,2.7529517963531323
46364,27720,76273,103993,2.7515512265512267
46379,27727,76293,104020,2.751577884372633
46386,27735,76308,104043,2.7513250405624663
46406,27743,76315,104058,2.750783981544894
46441,27783,76386,104169,2.7493791167260553
46469,27792,76404,104196,2.7491364421416233
46475,27796,76416,104212,2.7491725428119156
46497,27810,76439,104249,2.748615605897159
46579,27870,76587,104457,2.7480086114101185
46592,27877,76594,104471,2.747569681099114
46708,27883,76621,104504,2.747946777606427
46753,27901,76674,104575,2.7480735457510486
47009,28113,77126,105239,2.7434283071888452
47040,28144,77178,105322,2.742254121660034
47070,28160,77202,105362,2.7415482954545456
47087,28164,77238,105402,2.7424371538133787
47162,28211,77448,105659,2.745312112296622
47170,28213,77468,105681,2.7458263920887536
47201,28248,77513,105761,2.7440172755593317
47231,28264,77543,105807,2.743525332578545
47300,28310,77658,105968,2.7431296361709645
47308,28313,77663,105976,2.7430155758838697
47500,28440,77964,106404,2.741350210970464
47627,28552,78299,106851,2.7423297842532923
47679,28613,78485,107098,2.7429839583406146
47706,28649,78548,107197,2.7417361862543195
47740,28679,78606,107285,2.7408905470902054
47748,28687,78622,107309,2.740683933489037
47929,28771,78771,107542,2.737861040631191
47932,28776,78775,107551,2.7375243258270783
47977,28804,78826,107630,2.7366338008609916
50320,28804,78826,107630,2.7366338008609916
50435,28884,78997,107881,2.7349743802797395
50489,28920,79212,108132,2.7390041493775934
50510,28938,79231,108169,2.7379570115419174
50566,28963,79333,108296,2.7391154231260573
50572,28964,79350,108314,2.7396077889794226
50597,28978,79408,108386,2.7402857340051074
50609,28990,79436,108426,2.7401172818213175
50691,29059,79554,108613,2.7376716335730755
50742,29106,79623,108729,2.735621521335807
50794,29134,79689,108823,2.7352577744216378
50823,29160,79739,108899,2.734533607681756
50826,29160,79748,108908,2.7348422496570644
50830,29168,79763,108931,2.73460641799232
50876,29182,79805,108987,2.734733739976698
51005,29247,80231,109478,2.7432215269942217
51042,29274,80286,109560,2.7425701988112317
51121,29309,80399,109708,2.7431505680848884
51332,29496,80753,110249,2.7377610523460807
51432,29580,81012,110592,2.7387423935091277
51459,29607,81055,110662,2.7376971662106935
51488,29628,81086,110714,2.736803024166329
51577,29672,81247,110919,2.738170665947695
51695,29707,81432,111139,2.741172114316491
51715,29708,81452,111160,2.7417530631479736
51719,29719,81462,111181,2.7410747333355765
51747,29738,81498,111236,2.740533996906315
51774,29762,81540,111302,2.739735232847255
51821,29799,81634,111433,2.7394879022786
51828,29801,81649,111450,2.7398073890137913
52080,30002,82193,112195,2.7395840277314845
52113,30016,82232,112248,2.7396055437100215
52325,30152,82671,112823,2.7418081719288936
52331,30157,82673,112830,2.741419902510197
52376,30191,82799,112990,2.7425060448478025
52377,30191,82804,112995,2.742671657116359
52383,30191,82818,113009,2.7431353714683184
52397,30205,82833,113038,2.742360536335044
52487,30207,83097,113304,2.7509186612374616
52521,30220,83110,113330,2.7501654533421576
52530,30230,83126,113356,2.749784981806153
53994,30906,84536,115442,2.7352617614702646
54017,30922,84578,115500,2.7352047086216933
54023,30922,84592,115514,2.735657460707587
54034,30923,84618,115541,2.7364097920641592
54041,30929,84634,115563,2.736396262407449
54078,30951,84756,115707,2.73839294368518
54164,31006,84840,115846,2.736244597819777
54241,31071,84979,116050,2.734994045894886
54342,31134,85223,116357,2.737296845891951
54398,31162,85283,116445,2.736762723830306
54460,31211,85357,116568,2.734837076671686
54852,31450,86222,117672,2.741558028616852
54996,31508,86359,117867,2.7408594642630444
55157,31578,86676,118254,2.74482234467034
55200,31621,86763,118384,2.743841118244205
55308,31642,86808,118450,2.7434422602869604
55311,31646,86809,118455,2.7431270934715286
55558,31825,87429,119254,2.7471798900235664
55626,31846,87465,119311,2.7464987753564025
55672,31868,87586,119454,2.74839964855027
55770,31894,87631,119525,2.7475700758763404
55777,31899,87639,119538,2.7473902003197592
55780,31900,87644,119544,2.747460815047022
55784,31902,87651,119553,2.7475079932292648
55792,31912,87664,119576,2.747054399598897
55793,31912,87669,119581,2.747211080471296
55800,31912,87692,119604,2.7479318124843317
56010,32045,88020,120065,2.746762365423623
56403,32254,89468,121722,2.7738575060457618
56496,32339,89610,121949,2.7709576672129628
56565,32361,89714,122075,2.7722876301721207
56568,32363,89716,122079,2.772178104625653
56624,32389,89854,122243,2.7742134675352745
56642,32401,89862,122263,2.773432918737076
56665,32426,89911,122337,2.772805773145007
56681,32436,89942,122378,2.7729066469355037
57515,32614,90515,123129,2.775341877721224
57547,32638,90567,123205,2.7748942949935658
57584,32672,90619,123291,2.7735981880509306
57628,32705,90688,123393,2.7729093410793455
57643,32718,90699,123417,2.7721437740693196
57709,32749,90850,123599,2.774130507801765
57720,32756,90861,123617,2.7738734888264744
60687,34287,94365,128652,2.7522092921515444
60740,34337,94509,128846,2.752395375251187
60765,34365,94564,128929,2.751753237305398
60784,34365,94564,128929,2.751753237305398
60869,34420,94921,129341,2.757728065078443
63087,35347,100070,135417,2.8310747729651737
63125,35365,100155,135520,2.8320373250388804
63165,35387,100271,135658,2.8335546952270607
63205,35423,100364,135787,2.833300398046467
63252,35453,100429,135882,2.832736298761741
63320,35507,100563,136070,2.83220210099417
63340,35530,100583,136113,2.8309316070925976
63794,36058,101723,137781,2.8210937933329636
63840,36085,101771,137856,2.820313149508106
63922,36140,101860,138000,2.8184836745987827
63976,36175,101976,138151,2.818963372494817
64008,36208,102070,138278,2.8189902783915155
64016,36208,102093,138301,2.8196254971277064
64241,36274,102471,138745,2.824915917737222
64288,36318,102550,138868,2.8236687042238007
66339,37581,108434,146015,2.885340996780288
66391,37610,108521,146131,2.885429407072587
66432,37633,108592,146225,2.885552573539181
66442,37644,108625,146269,2.8855860163638294
66516,37672,108751,146423,2.8867859418135486
66664,37780,108954,146734,2.883906829010058
66896,37987,109797,147784,2.890383552267881
66914,37992,109802,147794,2.890134765213729
67471,38357,110890,149247,2.890997731835128
67495,38368,110919,149287,2.890924728940784
67522,38393,110967,149360,2.8902925012372047
67557,38405,110988,149393,2.889936206223148
67592,38420,111083,149503,2.891280583029672
67656,38464,111207,149671,2.891196963394343
67818,38592,111365,149957,2.8857016998341627
68434,38592,111365,149957,2.8857016998341627
68452,38609,111410,150019,2.8855966225491465
68527,38609,111410,150019,2.8855966225491465
68548,38634,111436,150070,2.884402339907853
68618,38687,111584,150271,2.884276371907876
68652,38703,111612,150315,2.8838074567862955
68667,38709,111632,150341,2.8838771345165206
69016,38874,112279,151153,2.8882800843751606
69132,38963,112476,151439,2.8867387008187255
69238,39044,112624,151668,2.8845405183895094
69254,39044,112650,151694,2.8852064337670322
70273,39268,113931,153199,2.9013700723235205
70292,39271,113971,153242,2.902166993455731
70399,39319,114090,153409,2.9016506014903736
70454,39345,114233,153578,2.903367645189986
70476,39365,114253,153618,2.9024006096786485
70498,39365,114253,153618,2.9024006096786485
71032,39662,115064,154726,2.901114416822147
71033,39662,115069,154731,2.901240482073521
71815,40098,116034,156132,2.8937602872961246
71850,40120,116063,156183,2.8928963110668
71945,40184,116204,156388,2.891797730439976
72389,40374,116767,157141,2.8921335512953883
73128,40999,118075,159074,2.879948291421742
73137,41004,118086,159090,2.879865378987416
73146,41013,118114,159127,2.8799161241557556
73158,41016,118152,159168,2.8806319485078995
73167,41019,118176,159195,2.881006362904995
73237,41078,118343,159421,2.8809338331953844
73285,41078,118493,159571,2.8845854228540824
73296,41079,118507,159586,2.8848560091530953
73351,41104,118560,159664,2.8843908135461267
73353,41106,118565,159671,2.8843721111273295
74363,41821,120195,162016,2.8740345759307524
74405,41842,120247,162089,2.873834902729315
74430,41859,120286,162145,2.8735994648701593
74470,41879,120315,162194,2.8729196017096874
74544,41908,120395,162303,2.8728405077789443
74594,41953,120538,162491,2.873167592305675
74628,41974,120624,162598,2.873779006051365
74721,42040,120710,162750,2.871313035204567
74743,42067,120731,162798,2.8699693346328474
74780,42084,120827,162911,2.871091151031271
74810,42111,120888,162999,2.870698867279333
74850,42138,120964,163102,2.870663059471261
74910,42203,121166,163369,2.871028125962609
74922,42203,121166,163369,2.871028125962609
74944,42203,121179,163382,2.8713361609364263
74983,42240,121238,163478,2.870217803030303
74992,42251,121248,163499,2.8697072258644765
75009,42273,121321,163594,2.8699406240389846
75048,42287,121330,163617,2.8692033012509754
75263,42372,121540,163912,2.868403662796186
75317,42387,121582,163969,2.868379455965272
75466,42396,128167,170563,3.0230918011133125
75484,42405,128191,170596,3.0230161537554534
75490,42405,128205,170610,3.0233463035019454
75553,42434,128267,170701,3.0227411980958667
75612,42477,128406,170883,3.0229535984179674
75977,42615,128911,171526,3.0250146661973485
75980,42618,128917,171535,3.0249425125533813
75988,42625,128933,171558,3.0248211143695016
76019,42637,129002,171639,3.0255881042287216
76514,42921,129757,172678,3.023158826681578
76827,43128,130336,173464,3.0220738267482843
76871,43162,130386,173548,3.020851675084565
76902,43186,130431,173617,3.0202148844532952
76946,43215,130509,173724,3.019993057965984
77293,43429,131295,174724,3.0232102972668033
78332,43728,133430,177158,3.051362971094036
78401,43771,133547,177318,3.0510383587306666
78532,43818,133658,177476,3.0502989638961155
