loc,size,total_nodes,file
159741,64029,521876,data/adyen/lib/adyen/notification_generator.rb
161032,64680,525537,data/adyen/spec/api/simple_soap_client_spec.rb
162294,65219,528012,data/agent/lib/agent/all.rb
162637,65430,528690,data/agent/lib/agent/pop.rb
163370,65866,530358,data/agent/spec/blocking_once_spec.rb
164598,66468,533800,data/agent/spec/queue_spec.rb
165337,66883,536155,data/ai4r/examples/neural_network/backpropagation_example.rb
166407,67373,540939,data/ai4r/lib/ai4r/classifiers/id3.rb
167638,67945,543203,data/ai4r/lib/ai4r/clusterers/complete_linkage.rb
168883,68550,545705,data/ai4r/lib/ai4r/data/statistics.rb
170274,69231,548419,data/ai4r/test/classifiers/hyperpipes_test.rb
171091,69714,551509,data/ai4r/test/clusterers/centroid_linkage_test.rb
171965,70232,554813,data/ai4r/test/data/statistics_test.rb
172780,70759,557443,data/airbrake/features/support/aruba.rb
173362,71153,558917,data/airbrake/lib/airbrake/capistrano.rb
174459,71863,561213,data/airbrake/lib/airbrake/rails/action_controller_catcher.rb
175313,72553,563284,data/airbrake/lib/airbrake/shared_tasks.rb
176138,73044,565296,data/airbrake/test/airbrake_tasks_test.rb
178192,74286,570663,data/airbrake/test/notifier_test.rb
178872,74712,572668,data/airplay/lib/airplay/protocol/image.rb
179221,74974,573666,data/airplay/test/helper.rb
179847,75409,575262,data/algorithms/ext/algorithms/string/extconf.rb
181172,76017,577854,data/algorithms/lib/containers/kd_tree.rb
182513,76634,580324,data/algorithms/spec/deque_spec.rb
183204,77096,582570,data/algorithms/spec/string_spec.rb
183933,77656,584896,data/altered_beast/app/controllers/users_controller.rb
184231,77905,585756,data/altered_beast/app/models/monitorship.rb
184738,78350,587337,data/altered_beast/app/models/user.rb
185050,78511,587848,data/altered_beast/config/initializers/mime_types.rb
185955,78980,590270,data/altered_beast/spec/controllers/forums_controller_spec.rb
187186,79731,594669,data/altered_beast/spec/helpers/users_helper_spec.rb
188303,80620,598574,data/altered_beast/spec/views/sites/edit.html.erb_spec.rb
188998,81031,600283,data/altered_beast/stories/steps/user_steps.rb
190274,81819,603853,data/altered_beast/vendor/plugins/acts_as_state_machine/test/acts_as_state_machine_test.rb
190868,82273,605765,data/altered_beast/vendor/plugins/brain_buster/examples/lib/humane_integer_example.rb
191361,82639,606903,data/altered_beast/vendor/plugins/model_stubbing/lib/model_stubbing/extensions.rb
192427,83440,609998,data/altered_beast/vendor/plugins/model_stubbing/spec/spec_helper.rb
192906,83751,611335,data/altered_beast/vendor/plugins/open_id_authentication/lib/open_id_authentication/timeout_fixes.rb
194195,84453,614434,data/altered_beast/vendor/plugins/restful_authentication/generators/authenticated/templates/authenticated_system.rb
194781,84453,614434,data/altered_beast/vendor/plugins/restful_authentication/generators/authenticated/templates/site_keys.rb
196242,84453,615608,data/altered_beast/vendor/plugins/restful_authentication/generators/authenticated/templates/stories/steps/ra_response_steps.rb
197017,84538,616066,data/altered_beast/vendor/plugins/restful_authentication/lib/authorization/aasm_roles.rb
197559,84577,616598,data/altered_beast/vendor/plugins/rspec_on_rails_on_crack/generators/custom_scaffold/templates/unit_spec.rb
198721,85199,619711,data/amazon-ec2/lib/AWS/Autoscaling.rb
199655,85419,622219,data/amazon-ec2/lib/AWS/EC2/password.rb
200578,85549,624679,data/amazon-ec2/lib/AWS/ELB.rb
202434,86248,629338,data/amazon-ec2/test/test_EC2_elastic_ips.rb
204482,87547,638160,data/amazon-ec2/test/test_EC2_spot_instance_requests.rb
206727,88724,644231,data/amoeba/spec/lib/amoeba_spec.rb
208074,89253,647360,data/amp/lib/amp/commands/command_support.rb
208820,89668,649507,data/amp/lib/amp/commands/commands/workflows/hg/add.rb
209887,90239,652402,data/amp/lib/amp/commands/commands/workflows/hg/debug/dirstate.rb
210453,90559,654046,data/amp/lib/amp/commands/commands/workflows/hg/manifest.rb
211192,90900,656312,data/amp/lib/amp/commands/commands/workflows/hg/status.rb
