loc,misses,hits,total,ratio
20349,4546,6791,45547,1.4938407391113067
20364,4554,6791,45572,1.4912165129556434
20549,4594,6836,45894,1.4880278624292556
20608,4599,6878,46213,1.4955425092411394
20661,4625,6898,46345,1.4914594594594595
20675,4627,6898,46352,1.4908147827966285
20700,4629,6898,46372,1.4901706632101965
20898,4665,7057,46991,1.512754555198285
20904,4665,7063,47009,1.5140407288317257
20906,4665,7065,47017,1.5144694533762058
20927,4665,7065,47017,1.5144694533762058
21017,4665,7065,47017,1.5144694533762058
21061,4672,7084,47122,1.5162671232876712
21077,4674,7084,47148,1.5156183140778776
21099,4674,7084,47148,1.5156183140778776
21210,4756,7215,47768,1.517031118587048
21293,4785,7231,47989,1.5111807732497389
21302,4794,7232,48016,1.508552357113058
21519,4832,7259,48341,1.502276490066225
21535,4842,7260,48392,1.499380421313507
21694,4877,7287,48713,1.4941562435923723
21697,4877,7292,48724,1.4951814640147632
21710,4885,7298,48775,1.4939611054247697
21739,4895,7314,48901,1.4941777323799796
21786,4926,7369,49137,1.495939910678035
21787,4928,7369,49144,1.4953327922077921
21822,4935,7390,49240,1.497467071935157
21860,4941,7412,49325,1.500101194090265
21882,4948,7418,49384,1.4991915925626516
21923,4959,7435,49497,1.4992942125428514
22000,4977,7476,49891,1.5021097046413503
22014,4978,7476,49911,1.501807955002009
22852,5122,7570,51305,1.4779383053494728
22865,5126,7571,51332,1.4769801014436208
22914,5126,7577,51413,1.4781506047600468
22953,5130,7600,51487,1.4814814814814814
23027,5147,7642,51689,1.4847483971245385
23082,5173,7670,51930,1.4826986274888847
23089,5176,7672,51952,1.482225656877898
23135,5193,7685,52095,1.4798767571731177
23161,5195,7686,52118,1.4794995187680462
23405,5279,7816,52809,1.4805834438340595
23428,5287,7832,52893,1.4813693966332513
23460,5297,7835,52968,1.4791391353596375
23905,5455,7957,54519,1.4586617781851512
23930,5462,7960,54583,1.457341633101428
24128,5525,8077,55111,1.4619004524886878
24143,5528,8081,55172,1.4618306801736614
24158,5530,8082,55189,1.4614828209764918
24785,5626,8368,56455,1.4873800213295414
24832,5631,8372,56559,1.486769667909785
24865,5637,8378,56643,1.4862515522441015
24904,5644,8388,56751,1.4861800141743444
25449,5777,8715,58487,1.5085684611389996
25465,5798,8719,58554,1.5037944118661608
25497,5801,8725,58602,1.5040510256852266
25526,5805,8728,58662,1.5035314384151592
25558,5816,8732,58757,1.5013755158184319
25569,5817,8732,58774,1.5011174144748152
25583,5821,8741,58815,1.5016320219893489
25774,5866,8812,59389,1.502216160927378
25785,5866,8816,59413,1.5028980565973407
25798,5884,8821,59466,1.4991502379333788
25849,5891,8823,59536,1.497708368698014
25904,5897,8824,59578,1.4963540783449212
25910,5897,8829,59592,1.4972019671019163
25925,5899,8839,59628,1.4983895575521275
26121,5929,8897,59956,1.500590318772137
26122,5929,8898,59959,1.5007589812784619
26181,5943,8905,60080,1.498401480733636
26220,5943,8905,60080,1.498401480733636
26301,5981,8945,60345,1.4955693027921753
26318,5989,8949,60410,1.4942394389714477
26331,5990,8949,60421,1.4939899833055093
26336,5992,8949,60431,1.4934913217623498
26367,5993,8951,60481,1.4935758384782245
26744,6058,9014,61139,1.4879498184219215
26758,6060,9019,61169,1.4882838283828383
26765,6067,9024,61200,1.4873908027031482
27493,6235,9162,62780,1.4694466720128307
27602,6270,9209,63071,1.4687400318979267
27646,6278,9215,63153,1.4678241478177763
27687,6280,9219,63201,1.4679936305732484
27717,6290,9233,63277,1.4678855325914149
27758,6290,9233,63277,1.4678855325914149
27844,6296,9241,63347,1.4677573062261753
27856,6297,9245,63375,1.4681594410036525
27973,6317,9259,63620,1.4657274022479025
27990,6319,9261,63659,1.4655799968349423
28024,6325,9268,63716,1.465296442687747
28031,6325,9276,63739,1.4665612648221344
28071,6331,9281,63799,1.4659611435792135
28096,6334,9282,63811,1.4654246921376697
28153,6334,9282,63811,1.4654246921376697
28526,6397,9360,64593,1.4631858683758012
28574,6408,9384,64764,1.4644194756554307
28816,6455,9513,65499,1.473741285824942
29574,6580,9761,67086,1.483434650455927
29579,6580,9761,67086,1.483434650455927
29734,6610,9791,67408,1.4812405446293495
29765,6612,9800,67464,1.4821536600120992
29829,6622,9819,67610,1.482784657203262
29853,6631,9822,67653,1.481224551349721
29863,6637,9825,67689,1.480337501883381
29872,6641,9827,67707,1.4797470260502936
29883,6647,9837,67743,1.479915751466827
29898,6655,9845,67789,1.4793388429752066
29965,6663,9888,67952,1.4840162089149032
30057,6685,9931,68196,1.4855646970830216
30582,6813,10360,70583,1.5206223396447967
30728,6813,10360,70583,1.5206223396447967
30758,6828,10370,70622,1.5187463386057412
30831,6852,10382,70785,1.51517805020432
30855,6861,10397,70852,1.5153767672350968
30878,6862,10405,70909,1.5163217720781113
30925,6862,10491,71145,1.5288545613523754
30970,6865,10494,71244,1.5286234522942461
31561,6976,10615,72369,1.521645642201835
31575,6979,10616,72389,1.5211348330706405
31636,6993,10627,72507,1.5196625196625198
31643,6994,10629,72522,1.5197311981698598
31678,6998,10639,72616,1.5202915118605316
31878,7071,10722,73363,1.5163343232923208
31910,7083,10742,73440,1.5165890159536919
32110,7149,10820,74126,1.5134983913834104
32125,7150,10820,74145,1.5132867132867134
32276,7311,11078,74811,1.515250991656408
32324,7324,11092,74906,1.5144729655925724
32406,7347,11111,75141,1.512317952905948
32466,7364,11154,75344,1.5146659424225963
32496,7371,11165,75440,1.5147198480531814
32825,7470,11317,76197,1.5149933065595715
